Transaction_ID,Date,Base_Currency,Target_Currency,Transfer_Amount_USD,Provider_Markup_Factor,Status,Real_Market_Rate,Applied_Provider_Rate,Cost_Leakage_USD,Compliance_Flag
TXN-1110,2026-08-16,USD,AUD,14470.2,1.03,Completed,1.41,1.45,376.03,REVIEW: HIGH VALUE
TXN-1111,2026-08-16,USD,GBP,1912.73,1.04,Completed,0.74,0.77,68.21,REVIEW: HIGH SPREAD
TXN-1112,2026-08-16,USD,EUR,6556.87,1.02,Completed,0.86,0.89,155.38,CLEARED
TXN-1113,2026-08-16,USD,AUD,10202.53,1.03,Delayed,1.41,1.45,275.8,REVIEW: HIGH VALUE
TXN-1114,2026-08-16,USD,GBP,4490.34,1.03,Completed,0.74,0.76,119.79,CLEARED
TXN-1115,2026-08-16,USD,PHP,10255.59,1.02,Completed,61.39,62.84,242.64,REVIEW: HIGH VALUE
TXN-1116,2026-08-16,USD,AUD,948.83,1.01,Completed,1.41,1.43,11.28,CLEARED
TXN-1117,2026-08-16,USD,EUR,14306.57,1.01,Completed,0.86,0.87,159.08,REVIEW: HIGH VALUE
TXN-1118,2026-08-16,USD,EUR,11015.74,1.02,Completed,0.86,0.88,174.01,REVIEW: HIGH VALUE
TXN-1119,2026-08-16,USD,PHP,9634.95,1.03,Completed,61.39,63.39,314.38,REVIEW: HIGH SPREAD
TXN-1120,2026-08-16,USD,PHP,14534.5,1.03,Completed,61.39,62.96,372.29,REVIEW: HIGH VALUE
TXN-1121,2026-08-16,USD,PHP,4334.31,1.03,Completed,61.39,63.27,133.09,REVIEW: HIGH SPREAD
TXN-1122,2026-08-16,USD,PHP,6658.81,1.01,Completed,61.39,62.29,97.7,CLEARED
TXN-1123,2026-08-16,USD,PHP,9570.85,1.01,Completed,61.39,62.03,99.9,CLEARED
TXN-1124,2026-08-16,USD,JPY,10041.26,1.04,Completed,159.01,164.75,362.21,REVIEW: HIGH SPREAD
TXN-1125,2026-08-16,USD,JPY,6763.15,1.02,Failed,159.01,162.86,163.54,CLEARED
TXN-1126,2026-08-16,USD,GBP,3517.25,1.03,Completed,0.74,0.76,101.32,CLEARED
TXN-1127,2026-08-16,USD,AUD,9934.29,1.01,Completed,1.41,1.43,101.49,CLEARED
TXN-1128,2026-08-16,USD,AUD,6145.21,1.03,Completed,1.41,1.45,174.83,CLEARED
TXN-1129,2026-08-16,USD,JPY,9310.0,1.02,Completed,159.01,161.67,155.97,CLEARED
TXN-1130,2026-08-16,USD,PHP,1666.47,1.03,Completed,61.39,62.98,43.15,CLEARED
TXN-1131,2026-08-16,USD,EUR,13379.79,1.02,Completed,0.86,0.88,298.69,REVIEW: HIGH VALUE
TXN-1132,2026-08-16,USD,JPY,9578.69,1.03,Completed,159.01,164.02,302.03,REVIEW: HIGH SPREAD
TXN-1133,2026-08-16,USD,PHP,1750.66,1.03,Completed,61.39,63.39,57.14,REVIEW: HIGH SPREAD
TXN-1134,2026-08-16,USD,AUD,12767.39,1.04,Delayed,1.41,1.47,509.55,REVIEW: HIGH SPREAD
TXN-1135,2026-08-16,USD,EUR,4314.84,1.04,Completed,0.86,0.9,160.49,REVIEW: HIGH SPREAD
TXN-1136,2026-08-16,USD,AUD,13309.84,1.03,Completed,1.41,1.46,450.34,REVIEW: HIGH SPREAD
TXN-1137,2026-08-16,USD,EUR,7291.75,1.03,Completed,0.86,0.89,196.47,CLEARED
TXN-1138,2026-08-16,USD,AUD,1747.89,1.02,Completed,1.41,1.44,38.68,CLEARED
TXN-1139,2026-08-16,USD,PHP,3812.41,1.01,Failed,61.39,62.05,41.37,CLEARED
TXN-1140,2026-08-16,USD,AUD,8749.6,1.02,Completed,1.41,1.44,188.33,CLEARED
TXN-1141,2026-08-16,USD,JPY,8830.85,1.02,Completed,159.01,161.98,164.83,CLEARED
TXN-1142,2026-08-16,USD,GBP,8109.26,1.01,Completed,0.74,0.75,88.79,CLEARED
TXN-1143,2026-08-16,USD,PHP,9255.45,1.02,Delayed,61.39,62.39,151.82,CLEARED
TXN-1144,2026-08-16,USD,AUD,8407.28,1.02,Completed,1.41,1.44,172.95,CLEARED
TXN-1145,2026-08-16,USD,PHP,13683.51,1.04,Completed,61.39,63.74,524.38,REVIEW: HIGH SPREAD
TXN-1146,2026-08-16,USD,AUD,4221.7,1.02,Completed,1.41,1.43,66.92,CLEARED
TXN-1147,2026-08-16,USD,JPY,4576.5,1.01,Completed,159.01,160.93,55.37,CLEARED
TXN-1148,2026-08-16,USD,JPY,2636.81,1.01,Completed,159.01,160.83,30.1,CLEARED
TXN-1149,2026-08-16,USD,AUD,6029.33,1.02,Completed,1.41,1.44,136.59,CLEARED
TXN-1150,2026-08-16,USD,AUD,4206.72,1.02,Completed,1.41,1.44,96.45,CLEARED
TXN-1151,2026-08-16,USD,EUR,4314.6,1.02,Completed,0.86,0.89,103.23,CLEARED
TXN-1152,2026-08-16,USD,JPY,3803.02,1.02,Completed,159.01,162.45,82.28,CLEARED
TXN-1153,2026-08-16,USD,GBP,12052.98,1.03,Completed,0.74,0.76,316.84,REVIEW: HIGH VALUE
TXN-1154,2026-08-16,USD,PHP,9995.5,1.02,Completed,61.39,62.42,168.38,CLEARED
TXN-1155,2026-08-16,USD,EUR,14959.6,1.02,Completed,0.86,0.88,318.59,REVIEW: HIGH VALUE
TXN-1156,2026-08-16,USD,JPY,10147.79,1.04,Completed,159.01,165.31,401.87,REVIEW: HIGH SPREAD
TXN-1157,2026-08-16,USD,PHP,4375.34,1.03,Completed,61.39,63.0,114.99,CLEARED
TXN-1158,2026-08-16,USD,JPY,13459.12,1.03,Completed,159.01,164.44,459.76,REVIEW: HIGH SPREAD
TXN-1159,2026-08-16,USD,AUD,2415.32,1.03,Completed,1.41,1.45,64.96,CLEARED
TXN-1160,2026-08-16,USD,GBP,8697.37,1.01,Completed,0.74,0.75,123.0,CLEARED
TXN-1161,2026-08-16,USD,EUR,10385.11,1.01,Completed,0.86,0.88,138.37,REVIEW: HIGH VALUE
TXN-1162,2026-08-16,USD,PHP,12979.16,1.03,Completed,61.39,63.44,434.77,REVIEW: HIGH SPREAD
TXN-1163,2026-08-16,USD,EUR,1245.46,1.02,Completed,0.86,0.88,23.39,CLEARED
TXN-1164,2026-08-16,USD,GBP,10530.09,1.03,Completed,0.74,0.76,327.93,REVIEW: HIGH SPREAD
TXN-1165,2026-08-16,USD,GBP,11509.57,1.02,Completed,0.74,0.75,204.39,REVIEW: HIGH VALUE
TXN-1166,2026-08-16,USD,AUD,1251.73,1.02,Completed,1.41,1.44,24.25,CLEARED
TXN-1167,2026-08-16,USD,PHP,12238.67,1.02,Completed,61.39,62.49,220.33,REVIEW: HIGH VALUE
TXN-1168,2026-08-16,USD,JPY,6440.42,1.03,Completed,159.01,163.14,167.4,CLEARED
TXN-1169,2026-08-16,USD,EUR,7934.33,1.01,Completed,0.86,0.87,84.41,CLEARED
TXN-1170,2026-08-16,USD,GBP,9473.52,1.03,Completed,0.74,0.76,295.04,REVIEW: HIGH SPREAD
TXN-1171,2026-08-16,USD,GBP,9678.38,1.03,Completed,0.74,0.76,325.88,REVIEW: HIGH SPREAD
TXN-1172,2026-08-16,USD,JPY,9446.61,1.02,Completed,159.01,162.35,198.14,CLEARED
TXN-1173,2026-08-16,USD,GBP,13399.09,1.04,Completed,0.74,0.77,486.11,REVIEW: HIGH SPREAD
TXN-1174,2026-08-16,USD,JPY,1929.64,1.04,Completed,159.01,164.71,69.22,REVIEW: HIGH SPREAD
TXN-1175,2026-08-16,USD,AUD,14147.36,1.03,Completed,1.41,1.46,447.21,REVIEW: HIGH SPREAD
TXN-1176,2026-08-16,USD,EUR,12482.52,1.02,Completed,0.86,0.88,191.52,REVIEW: HIGH VALUE
TXN-1177,2026-08-16,USD,AUD,2308.11,1.02,Completed,1.41,1.44,39.82,CLEARED
TXN-1178,2026-08-16,USD,EUR,7703.36,1.02,Completed,0.86,0.88,118.74,CLEARED
TXN-1179,2026-08-16,USD,GBP,2803.79,1.03,Completed,0.74,0.76,82.3,CLEARED
TXN-1180,2026-08-16,USD,AUD,2877.88,1.03,Completed,1.41,1.45,75.03,CLEARED
TXN-1181,2026-08-16,USD,EUR,2537.96,1.04,Completed,0.86,0.9,94.45,REVIEW: HIGH SPREAD
TXN-1182,2026-08-16,USD,AUD,11429.91,1.02,Completed,1.41,1.43,172.38,REVIEW: HIGH VALUE
TXN-1183,2026-08-16,USD,EUR,5972.05,1.03,Completed,0.86,0.89,156.99,CLEARED
TXN-1184,2026-08-16,USD,PHP,12047.41,1.03,Completed,61.39,63.37,389.0,REVIEW: HIGH SPREAD
TXN-1185,2026-08-16,USD,EUR,10979.26,1.03,Completed,0.86,0.89,383.96,REVIEW: HIGH SPREAD
TXN-1186,2026-08-16,USD,GBP,1808.21,1.02,Completed,0.74,0.75,37.2,CLEARED
TXN-1187,2026-08-16,USD,AUD,4745.42,1.03,Completed,1.41,1.46,157.53,REVIEW: HIGH SPREAD
TXN-1188,2026-08-16,USD,AUD,3297.59,1.02,Completed,1.41,1.45,78.94,CLEARED
TXN-1189,2026-08-16,USD,GBP,7193.84,1.03,Completed,0.74,0.76,239.35,REVIEW: HIGH SPREAD
TXN-1190,2026-08-16,USD,EUR,11067.2,1.04,Completed,0.86,0.9,420.02,REVIEW: HIGH SPREAD
TXN-1191,2026-08-16,USD,PHP,11960.67,1.03,Completed,61.39,63.08,329.53,REVIEW: HIGH VALUE
TXN-1192,2026-08-16,USD,GBP,7327.34,1.02,Completed,0.74,0.75,115.14,CLEARED
TXN-1193,2026-08-16,USD,GBP,7744.13,1.02,Delayed,0.74,0.75,157.92,CLEARED
TXN-1194,2026-08-16,USD,AUD,2158.58,1.03,Completed,1.41,1.45,64.78,REVIEW: HIGH SPREAD
TXN-1195,2026-08-16,USD,GBP,11888.43,1.01,Completed,0.74,0.75,156.58,REVIEW: HIGH VALUE
TXN-1196,2026-08-16,USD,AUD,1465.46,1.03,Failed,1.41,1.45,39.29,CLEARED
TXN-1197,2026-08-16,USD,JPY,3618.23,1.04,Completed,159.01,164.59,126.92,REVIEW: HIGH SPREAD
TXN-1198,2026-08-16,USD,PHP,8354.02,1.02,Completed,61.39,62.54,156.99,CLEARED
TXN-1199,2026-08-16,USD,GBP,9492.35,1.04,Completed,0.74,0.77,360.73,REVIEW: HIGH SPREAD
TXN-1200,2026-08-16,USD,EUR,10683.77,1.02,Completed,0.86,0.88,174.27,REVIEW: HIGH VALUE
TXN-1201,2026-08-16,USD,PHP,7452.03,1.03,Completed,61.39,62.97,191.57,CLEARED
TXN-1202,2026-08-16,USD,GBP,7605.32,1.02,Completed,0.74,0.75,162.56,CLEARED
TXN-1203,2026-08-16,USD,PHP,12462.95,1.02,Completed,61.39,62.35,194.82,REVIEW: HIGH VALUE
TXN-1204,2026-08-16,USD,AUD,4159.69,1.02,Completed,1.41,1.44,79.83,CLEARED
TXN-1205,2026-08-16,USD,JPY,718.04,1.02,Completed,159.01,162.37,15.16,CLEARED
TXN-1206,2026-08-16,USD,PHP,13144.74,1.03,Completed,61.39,63.45,441.48,REVIEW: HIGH SPREAD
TXN-1207,2026-08-16,USD,PHP,4987.06,1.02,Completed,61.39,62.75,110.28,CLEARED
TXN-1208,2026-08-16,USD,PHP,9883.8,1.03,Completed,61.39,63.35,316.38,REVIEW: HIGH SPREAD
TXN-1209,2026-08-16,USD,PHP,9141.05,1.02,Completed,61.39,62.66,188.95,CLEARED
TXN-1210,2026-08-16,USD,AUD,3156.62,1.03,Completed,1.41,1.46,109.54,REVIEW: HIGH SPREAD
TXN-1211,2026-08-16,USD,JPY,12235.59,1.01,Delayed,159.01,160.86,142.19,REVIEW: HIGH VALUE
TXN-1212,2026-08-16,USD,GBP,709.92,1.01,Completed,0.74,0.75,7.89,CLEARED
TXN-1213,2026-08-16,USD,JPY,10255.55,1.03,Completed,159.01,163.06,261.2,REVIEW: HIGH VALUE
TXN-1214,2026-08-16,USD,GBP,13774.98,1.02,Completed,0.74,0.76,308.04,REVIEW: HIGH VALUE
TXN-1215,2026-08-16,USD,JPY,6496.63,1.02,Completed,159.01,161.74,111.51,CLEARED
TXN-1216,2026-08-16,USD,AUD,1643.27,1.03,Completed,1.41,1.46,54.59,REVIEW: HIGH SPREAD
TXN-1217,2026-08-16,USD,GBP,6683.46,1.03,Completed,0.74,0.76,199.72,CLEARED
TXN-1218,2026-08-16,USD,JPY,9639.94,1.01,Completed,159.01,160.84,110.83,CLEARED
TXN-1219,2026-08-16,USD,PHP,1069.08,1.03,Completed,61.39,63.42,35.38,REVIEW: HIGH SPREAD
TXN-1220,2026-08-16,USD,GBP,12016.82,1.02,Completed,0.74,0.75,193.1,REVIEW: HIGH VALUE
TXN-1221,2026-08-16,USD,AUD,14035.92,1.03,Completed,1.41,1.46,456.22,REVIEW: HIGH SPREAD
TXN-1222,2026-08-16,USD,AUD,1534.14,1.04,Delayed,1.41,1.46,54.72,REVIEW: HIGH SPREAD
TXN-1223,2026-08-16,USD,AUD,10916.2,1.01,Completed,1.41,1.43,129.93,REVIEW: HIGH VALUE
TXN-1224,2026-08-16,USD,PHP,14600.76,1.02,Completed,61.39,62.48,260.64,REVIEW: HIGH VALUE
TXN-1225,2026-08-16,USD,JPY,9467.54,1.04,Completed,159.01,164.92,351.82,REVIEW: HIGH SPREAD
TXN-1226,2026-08-16,USD,GBP,1584.41,1.02,Completed,0.74,0.75,31.1,CLEARED
TXN-1227,2026-08-16,USD,GBP,4698.81,1.02,Completed,0.74,0.76,105.26,CLEARED
TXN-1228,2026-08-16,USD,PHP,2652.91,1.04,Completed,61.39,63.72,100.82,REVIEW: HIGH SPREAD
TXN-1229,2026-08-16,USD,AUD,2748.59,1.01,Completed,1.41,1.43,35.03,CLEARED
TXN-1230,2026-08-16,USD,GBP,6466.72,1.04,Completed,0.74,0.77,233.93,REVIEW: HIGH SPREAD
TXN-1231,2026-08-16,USD,EUR,5689.58,1.02,Completed,0.86,0.88,127.24,CLEARED
TXN-1232,2026-08-16,USD,EUR,8720.71,1.03,Completed,0.86,0.89,233.95,CLEARED
TXN-1233,2026-08-16,USD,EUR,8132.59,1.04,Completed,0.86,0.9,304.17,REVIEW: HIGH SPREAD
TXN-1234,2026-08-16,USD,AUD,7043.06,1.02,Completed,1.41,1.44,142.33,CLEARED
TXN-1235,2026-08-16,USD,EUR,2383.64,1.01,Completed,0.86,0.88,34.25,CLEARED
TXN-1236,2026-08-16,USD,AUD,6013.52,1.03,Completed,1.41,1.46,190.83,REVIEW: HIGH SPREAD
TXN-1237,2026-08-16,USD,EUR,14662.54,1.03,Completed,0.86,0.89,389.16,REVIEW: HIGH VALUE
TXN-1238,2026-08-16,USD,JPY,5787.26,1.03,Completed,159.01,163.67,169.46,CLEARED
TXN-1239,2026-08-16,USD,JPY,5659.56,1.01,Completed,159.01,161.31,81.81,CLEARED
TXN-1240,2026-08-16,USD,AUD,4341.6,1.03,Completed,1.41,1.46,138.71,REVIEW: HIGH SPREAD
TXN-1241,2026-08-16,USD,AUD,6553.4,1.03,Completed,1.41,1.45,178.16,CLEARED
TXN-1242,2026-08-16,USD,AUD,1894.89,1.02,Completed,1.41,1.43,29.16,CLEARED
